Year,Date_parsed,GEO,NAICS,Total Employment
2018,2018-07-01,Quebec,Motor vehicle body and trailer manufacturing [3362],5602.00
2018,2018-08-01,Quebec,Metal ore mining [2122],11953.00
2018,2018-09-01,Quebec,Household and institutional furniture and kitchen cabinet manufacturing [3371],16274.00
2018,2018-09-01,Quebec,Hospitals [622],165908.00
2018,2018-10-01,Quebec,Construction [23],217373.00
2018,2018-10-01,Quebec,Book stores and news dealers [4513],4040.00
2018,2018-10-01,Quebec,"Clothing, clothing accessories, shoes, jewelry, luggage and leather goods retailers [458]",59047.00
2018,2018-10-01,Quebec,"Scenic and sightseeing transportation, land [4871]",nan
2018,2018-10-01,Quebec,Drinking places (alcoholic beverages) [7224],14111.00
2018,2018-11-01,Quebec,"Educational services [61,611]",340734.00
2019,2019-03-01,Canada,Pharmaceutical and medicine manufacturing [3254],31290.00
2019,2019-03-01,Canada,Hardware manufacturing [3325],6382.00
2019,2019-04-01,Canada,Interurban and rural bus transportation [4852],3665.00
