REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2022-04,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1933410,A,,,0
2022-07,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1985470,A,,,0
2022-10,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,2007845,A,,,0
2023-01,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1999585,A,,,0
2023-04,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,2020890,A,,,0
2023-07,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,2059125,A,,,0
2023-10,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,2070975,A,,,0
2024-01,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,2040530,A,,,0
2024-04,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,2058135,A,,,0
2024-07,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,2092450,A,,,0
2024-10,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,2106285,A,,,0
2025-01,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,2081365,A,,,0
2025-04,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,2085190,A,,,0
2025-07,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,2124240,A,,,0
2015-01,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,3.7,E,,,1
2015-04,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,3.5,A,,,1
2015-07,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,3.2,A,,,1
2015-10,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,2.5,A,,,1
2016-01,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,2,A,,,1
2016-04,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,2.2,A,,,1
2016-07,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,2.3,A,,,1
2016-10,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,2.2,A,,,1
2017-01,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,2.2,A,,,1
2017-04,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,2.6,A,,,1
2017-07,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,2.7,A,,,1
2017-10,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,2.6,A,,,1
2018-01,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,2.6,A,,,1
2018-04,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,3,A,,,1
2018-07,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,2.9,A,,,1
2018-10,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,2.7,A,,,1
2019-01,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,2.5,A,,,1
2019-04,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,3,A,,,1
