REF_DATE,GEO,DGUID,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2023-02,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,747720,A,,,0
2023-03,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,790370,A,,,0
2023-04,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,839950,A,,,0
2023-05,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,812510,A,,,0
2023-06,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,779410,A,,,0
2023-07,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,742230,A,,,0
2023-08,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,741875,A,,,0
2023-09,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,693950,A,,,0
2023-10,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,711930,A,,,0
2023-11,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,656565,A,,,0
2023-12,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,534525,A,,,0
2024-01,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,600555,A,,,0
