Date_parsed,GEO,Year,Job vacancies,Job vacancy rate,Payroll employees,Total Employment
2021-06-01,British Columbia,2021,136145.00,6.00,2139120.00,2310028.00
2019-04-01,British Columbia,2019,113375.00,4.90,2212365.00,2312498.00
2023-12-01,Quebec,2023,119260.00,3.00,3845370.00,4074835.00
2024-07-01,Alberta,2024,63345.00,2.90,2101415.00,2170496.00
2023-06-01,Canada,2023,779410.00,4.30,17200810.00,18398077.00
2021-08-01,British Columbia,2021,160925.00,6.80,2199840.00,2286412.00
2018-03-01,British Columbia,2018,94145.00,4.20,2121600.00,2248528.00
2018-05-01,Nunavut,2018,495.00,4.20,11230.00,16276.00
2024-11-01,Alberta,2024,68350.00,3.10,2122485.00,2178434.00
2025-11-01,Manitoba,2025,17635.00,2.80,621390.00,646553.00
2021-09-01,British Columbia,2021,170485.00,7.30,2178835.00,2363497.00
2018-06-01,Nunavut,2018,nan,nan,11400.00,16527.00
2023-04-01,Quebec,2023,207980.00,5.20,3788575.00,3996335.00
2023-08-01,Quebec,2023,171365.00,4.20,3866660.00,3986134.00
2022-02-01,Canada,2022,833725.00,5.00,15950840.00,16896777.00
2021-11-01,Manitoba,2021,26810.00,4.40,586020.00,615495.00
2022-08-01,British Columbia,2022,151600.00,6.10,2347100.00,2450076.00
2021-02-01,Manitoba,2021,16915.00,3.10,537720.00,575175.00
2019-11-01,Saskatchewan,2019,10175.00,2.00,487955.00,485776.00
2024-02-01,Manitoba,2024,17590.00,2.90,594625.00,630460.00
2023-10-01,Saskatchewan,2023,20660.00,4.00,498140.00,514249.00
2023-09-01,Alberta,2023,85885.00,4.00,2054735.00,2151881.00
2023-08-01,Saskatchewan,2023,24935.00,4.90,484395.00,496429.00
2022-03-01,Saskatchewan,2022,25830.00,5.30,459240.00,480443.00
2017-12-01,Prince Edward Island,2017,1160.00,1.90,60585.00,63749.00
2021-09-01,Nova Scotia,2021,20490.00,4.70,411055.00,426220.00
2018-10-01,Manitoba,2018,14965.00,2.40,608180.00,626783.00
2015-04-01,Canada,2015,482925.00,3.20,14803985.00,15601135.00
2023-06-01,Yukon,2023,1450.00,7.00,19295.00,26266.00
2023-02-01,Prince Edward Island,2023,2545.00,3.80,63805.00,70898.00
2016-09-01,Prince Edward Island,2016,1470.00,2.30,63190.00,68367.00
2017-01-01,Alberta,2017,39545.00,2.00,1930935.00,1933418.00
2016-08-01,Prince Edward Island,2016,1085.00,1.70,61745.00,66437.00
2018-04-01,Yukon,2018,720.00,4.30,16130.00,20758.00
2022-01-01,Manitoba,2022,25635.00,4.00,610505.00,606416.00
2018-02-01,Nova Scotia,2018,9980.00,2.40,399835.00,401273.00
2024-11-01,New Brunswick,2024,7970.00,2.50,315065.00,361561.00
2023-05-01,Prince Edward Island,2023,4195.00,5.90,66325.00,79823.00
2022-12-01,Manitoba,2022,25480.00,4.10,603265.00,641947.00
2017-10-01,Alberta,2017,51135.00,2.50,1956335.00,2030708.00
2019-03-01,Newfoundland and Labrador,2019,3460.00,1.70,205955.00,206274.00
2016-11-01,New Brunswick,2016,5145.00,1.80,286765.00,310807.00
2023-07-01,Prince Edward Island,2023,2060.00,2.60,76415.00,82072.00
2023-10-01,Yukon,2023,1130.00,5.30,20235.00,25380.00
2019-05-01,Northwest Territories,2019,760.00,3.50,21255.00,27011.00
2021-09-01,Prince Edward Island,2021,3295.00,4.80,65140.00,74029.00
2025-01-01,Nova Scotia,2025,10415.00,2.30,450430.00,451920.00
2015-06-01,Nova Scotia,2015,8400.00,2.00,409345.00,415357.00
2025-03-01,Alberta,2025,68425.00,3.20,2077590.00,2148306.00
2025-09-01,Prince Edward Island,2025,3420.00,4.50,72265.00,83178.00
2024-11-01,Northwest Territories,2024,855.00,3.70,22325.00,27262.00
2025-09-01,Alberta,2025,62440.00,2.90,2117525.00,2209525.00
2025-04-01,Nova Scotia,2025,13310.00,3.00,436190.00,453878.00
2021-03-01,Northwest Territories,2021,nan,nan,20170.00,26319.00
2017-08-01,Northwest Territories,2017,455.00,1.90,23045.00,28217.00
2025-05-01,Yukon,2025,810.00,4.10,19100.00,25674.00
2022-06-01,Yukon,2022,1520.00,7.60,18355.00,24806.00
2022-03-01,Yukon,2022,895.00,5.00,17110.00,22805.00
2022-02-01,Yukon,2022,1135.00,6.20,17005.00,22250.00
2016-09-01,Nunavut,2016,415.00,3.70,10690.00,15105.00
2025-02-01,Nova Scotia,2025,12675.00,2.60,469165.00,448017.00
2018-06-01,Prince Edward Island,2018,nan,nan,64470.00,72796.00
2015-07-01,Newfoundland and Labrador,2015,4330.00,2.00,215065.00,238390.00
2015-09-01,Saskatchewan,2015,12765.00,2.70,455350.00,488784.00
2024-07-01,Nunavut,2024,625.00,3.50,17115.00,22312.00
2015-06-01,Yukon,2015,690.00,4.10,16215.00,21411.00
2024-06-01,Nunavut,2024,nan,nan,nan,22031.00
